Name,MapDate,DSCI
Texas,20180911,111
Texas,20180918,101
Texas,20180925,71
Texas,20181002,65
Texas,20181009,46
Texas,20181016,16
Texas,20181023,13
Texas,20181030,6
Texas,20181106,4
Texas,20181113,3
Texas,20181120,3
Texas,20181127,3
Texas,20181204,5
Texas,20181211,5
Texas,20181218,6
Texas,20181225,11
Texas,20190101,8
Texas,20190108,9
Texas,20190115,10
Texas,20190122,12
Texas,20190129,11
Texas,20190205,20
Texas,20190212,38
Texas,20190219,47
Texas,20190226,68
Texas,20190305,74
Texas,20190312,62
Texas,20190319,42
Texas,20190326,52
Texas,20190402,61
Texas,20190409,47
Texas,20190416,30
Texas,20190423,22
Texas,20190430,14
Texas,20190507,3
Texas,20190514,0
Texas,20190521,2
Texas,20190528,6
Texas,20190604,6
Texas,20190611,6
Texas,20190618,7
Texas,20190625,6
Texas,20190702,7
Texas,20190709,6
Texas,20190716,9
Texas,20190723,13
Texas,20190730,28
Texas,20190806,58
Texas,20190813,91
Texas,20190820,112
Texas,20190827,122
Texas,20190903,121
Texas,20190910,145
Texas,20190917,148
Texas,20190924,137
Texas,20191001,143
Texas,20191008,148
Texas,20191015,148
Texas,20191022,142
Texas,20191029,135
Texas,20191105,124
Texas,20191112,97
Texas,20191119,95
Texas,20191126,97
Texas,20191203,98
Texas,20191210,98
Texas,20191217,101
Texas,20191224,105
Texas,20191231,101
Texas,20200107,108
Texas,20200114,104
Texas,20200121,107
Texas,20200128,103
Texas,20200204,100
Texas,20200211,96
Texas,20200218,80
Texas,20200225,66
Texas,20200303,75
Texas,20200310,76
Texas,20200317,76
Texas,20200324,66
Texas,20200331,67
Texas,20200407,58
Texas,20200414,50
Texas,20200421,53
Texas,20200428,53
Texas,20200505,53
Texas,20200512,67
Texas,20200519,52
Texas,20200526,42
Texas,20200602,49
Texas,20200609,71
Texas,20200616,94
Texas,20200623,88
Texas,20200630,98
Texas,20200707,89
Texas,20200714,104
Texas,20200721,119
Texas,20200728,113
Texas,20200804,109
Texas,20200811,128
Texas,20200818,143
Texas,20200825,174
Texas,20200901,175
Texas,20200908,141
Texas,20200915,118
Texas,20200922,107
Texas,20200929,111
Texas,20201006,117
Texas,20201013,124
Texas,20201020,138
Texas,20201027,152
Texas,20201103,156
Texas,20201110,200
Texas,20201117,242
Texas,20201124,257
Texas,20201201,256
Texas,20201208,257
Texas,20201215,260
Texas,20201222,265
Texas,20201229,266
Texas,20210105,206
Texas,20210112,174
Texas,20210119,176
Texas,20210126,157
Texas,20210202,162
Texas,20210209,175
Texas,20210216,167
Texas,20210223,175
Texas,20210302,187
Texas,20210309,208
Texas,20210316,221
Texas,20210323,222
Texas,20210330,220
Texas,20210406,236
Texas,20210413,239
Texas,20210420,225
Texas,20210427,224
Texas,20210504,164
Texas,20210511,162
Texas,20210518,124
Texas,20210525,94
Texas,20210601,69
Texas,20210608,49
Texas,20210615,48
Texas,20210622,50
Texas,20210629,34
Texas,20210706,20
Texas,20210713,15
Texas,20210720,11
Texas,20210727,7
Texas,20210803,6
Texas,20210810,9
Texas,20210817,9
Texas,20210824,7
Texas,20210831,9
Texas,20210907,11
Texas,20210914,22
Texas,20210921,36
Texas,20210928,62
Texas,20211005,53
Texas,20211012,68
Texas,20211019,67
Texas,20211026,83
Texas,20211102,101
Texas,20211109,99
Texas,20211116,109
Texas,20211123,119
Texas,20211130,137
Texas,20211207,156
Texas,20211214,167
Texas,20211221,179
Texas,20211228,201
Texas,20220104,243
Texas,20220111,264
Texas,20220118,273
Texas,20220125,282
Texas,20220201,278
Texas,20220208,245
Texas,20220215,246
Texas,20220222,247
Texas,20220301,255
Texas,20220308,297
Texas,20220315,308
Texas,20220322,302
Texas,20220329,303
Texas,20220405,302
Texas,20220412,322
Texas,20220419,325
Texas,20220426,316
Texas,20220503,313
Texas,20220510,314
Texas,20220517,326
Texas,20220524,301
Texas,20220531,293
